subject,block,trial,mu1,mu2,choice,reward,RT,state,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU
1,1,1,-1,-2,0,0,1655,0,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,1,2,-1,-2,1,-4,652,1,0.0,3.333333333333334,5.0,0.0,0.0,2.886751345948129,-0.410326119149236
1,1,3,-1,-2,0,-1,479,2,1.3333333333333333,3.333333333333334,3.333333333333334,0.0,-1.3333333333333333,2.5819888974716116,0.0
1,1,4,-1,-2,0,-2,839,3,1.0833333333333333,2.5000000000000004,3.333333333333334,-0.25000000000000006,-1.3333333333333333,2.41522945769824,-0.24460302826636404
1,1,5,-1,-2,1,-1,424,4,0.7333333333333332,2.0,3.333333333333334,-0.6000000000000001,-1.3333333333333333,2.3094010767585034,-0.41152829597745866
1,1,6,-1,-2,0,0,426,5,0.6499999999999999,2.0,2.5000000000000004,-0.6000000000000001,-1.25,2.1213203435596424,-0.16692526771109462
1,1,7,-1,-2,0,-3,407,6,0.7499999999999999,1.6666666666666667,2.5000000000000004,-0.5000000000000001,-1.25,2.041241452319315,-0.29014438134838416
1,1,8,-1,-2,1,-1,686,7,0.3928571428571427,1.4285714285714286,2.5000000000000004,-0.8571428571428573,-1.25,1.9820624179302297,-0.3859102207497962
1,1,9,-1,-2,0,-1,391,8,0.34285714285714264,1.4285714285714286,2.0,-0.8571428571428573,-1.2,1.851640199545103,-0.21898495303870158
1,1,10,-1,-2,0,-1,350,9,0.32499999999999984,1.25,2.0,-0.8750000000000001,-1.2,1.8027756377319946,-0.29617957362320024
1,2,1,0,-10,0,0,670,10,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,2,2,0,-10,1,-8,375,11,0.0,3.333333333333334,5.0,0.0,0.0,2.886751345948129,-0.410326119149236
1,2,3,0,-10,0,-2,367,12,2.6666666666666665,3.333333333333334,3.333333333333334,0.0,-2.6666666666666665,2.5819888974716116,0.0
1,2,4,0,-10,0,0,415,13,2.1666666666666665,2.5000000000000004,3.333333333333334,-0.5000000000000001,-2.6666666666666665,2.41522945769824,-0.24460302826636404
1,2,5,0,-10,0,0,407,14,2.2666666666666666,2.0,3.333333333333334,-0.4000000000000001,-2.6666666666666665,2.3094010767585034,-0.41152829597745866
1,2,6,0,-10,0,-1,368,15,2.333333333333333,1.6666666666666667,3.333333333333334,-0.33333333333333337,-2.6666666666666665,2.23606797749979,-0.5347474096147482
1,2,7,0,-10,1,-11,471,16,2.238095238095238,1.4285714285714286,3.333333333333334,-0.4285714285714286,-2.6666666666666665,2.182178902359924,-0.6305132490161602
1,2,8,0,-10,0,1,335,17,4.321428571428571,1.4285714285714286,2.5000000000000004,-0.4285714285714286,-4.75,1.9820624179302297,-0.3859102207497962
1,2,9,0,-10,0,0,351,18,4.5,1.25,2.5000000000000004,-0.25,-4.75,1.9364916731037085,-0.46310484133429486
1,2,10,0,-10,1,-10,367,19,4.527777777777778,1.1111111111111112,2.5000000000000004,-0.2222222222222222,-4.75,1.90029237516523,-0.5270462766947299
1,3,1,-5,3,0,-5,530,20,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,3,2,-5,3,1,2,302,21,-1.6666666666666665,3.333333333333334,5.0,-1.6666666666666665,0.0,2.886751345948129,-0.410326119149236
1,3,3,-5,3,1,2,375,22,-2.333333333333333,3.333333333333334,3.333333333333334,-1.6666666666666665,0.6666666666666666,2.5819888974716116,0.0
1,3,4,-5,3,1,3,360,23,-2.6666666666666665,3.333333333333334,2.5000000000000004,-1.6666666666666665,1.0,2.41522945769824,0.24460302826636404
1,3,5,-5,3,1,2,319,24,-3.0666666666666664,3.333333333333334,2.0,-1.6666666666666665,1.4000000000000001,2.3094010767585034,0.41152829597745866
1,3,6,-5,3,1,1,335,25,-3.1666666666666665,3.333333333333334,1.6666666666666667,-1.6666666666666665,1.5,2.23606797749979,0.5347474096147482
1,3,7,-5,3,1,2,385,26,-3.095238095238095,3.333333333333334,1.4285714285714286,-1.6666666666666665,1.4285714285714286,2.182178902359924,0.6305132490161602
1,3,8,-5,3,1,4,350,27,-3.1666666666666665,3.333333333333334,1.25,-1.6666666666666665,1.5,2.1408720964441885,0.7077078696006589
1,3,9,-5,3,1,3,367,28,-3.444444444444444,3.333333333333334,1.1111111111111112,-1.6666666666666665,1.7777777777777777,2.1081851067789197,0.771649304961094
1,3,10,-5,3,1,4,391,29,-3.5666666666666664,3.333333333333334,1.0,-1.6666666666666665,1.9,2.081665999466133,0.8257418583505538
1,4,1,-2,1,1,1,683,30,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,4,2,-2,1,1,3,319,31,-0.3333333333333333,5.0,3.333333333333334,0.0,0.3333333333333333,2.886751345948129,0.410326119149236
1,4,3,-2,1,0,-2,502,32,-1.0,5.0,2.5000000000000004,0.0,1.0,2.7386127875258306,0.6549291474156
1,4,4,-2,1,1,3,543,33,-1.6666666666666665,3.333333333333334,2.5000000000000004,-0.6666666666666666,1.0,2.41522945769824,0.24460302826636404
1,4,5,-2,1,1,1,327,34,-2.066666666666667,3.333333333333334,2.0,-0.6666666666666666,1.4000000000000001,2.3094010767585034,0.41152829597745866
1,4,6,-2,1,1,1,342,35,-2.0,3.333333333333334,1.6666666666666667,-0.6666666666666666,1.3333333333333335,2.23606797749979,0.5347474096147482
1,4,7,-2,1,1,0,342,36,-1.9523809523809526,3.333333333333334,1.4285714285714286,-0.6666666666666666,1.2857142857142858,2.182178902359924,0.6305132490161602
1,4,8,-2,1,1,1,383,37,-1.7916666666666665,3.333333333333334,1.25,-0.6666666666666666,1.125,2.1408720964441885,0.7077078696006589
1,4,9,-2,1,1,2,424,38,-1.7777777777777777,3.333333333333334,1.1111111111111112,-0.6666666666666666,1.1111111111111112,2.1081851067789197,0.771649304961094
1,4,10,-2,1,1,1,390,39,-1.8666666666666667,3.333333333333334,1.0,-0.6666666666666666,1.2,2.081665999466133,0.8257418583505538
1,5,1,-2,-11,1,-11,504,40,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,5,2,-2,-11,0,-2,415,41,3.6666666666666665,5.0,3.333333333333334,0.0,-3.6666666666666665,2.886751345948129,0.410326119149236
1,5,3,-2,-11,0,-3,596,42,3.0,3.333333333333334,3.333333333333334,-0.6666666666666666,-3.6666666666666665,2.5819888974716116,0.0
1,5,4,-2,-11,0,-2,485,43,2.4166666666666665,2.5000000000000004,3.333333333333334,-1.25,-3.6666666666666665,2.41522945769824,-0.24460302826636404
1,5,5,-2,-11,0,-2,493,44,2.2666666666666666,2.0,3.333333333333334,-1.4,-3.6666666666666665,2.3094010767585034,-0.41152829597745866
1,5,6,-2,-11,0,-3,399,45,2.1666666666666665,1.6666666666666667,3.333333333333334,-1.5,-3.6666666666666665,2.23606797749979,-0.5347474096147482
1,5,7,-2,-11,0,-1,392,46,1.952380952380952,1.4285714285714286,3.333333333333334,-1.7142857142857144,-3.6666666666666665,2.182178902359924,-0.6305132490161602
1,5,8,-2,-11,0,-6,424,47,2.0416666666666665,1.25,3.333333333333334,-1.625,-3.6666666666666665,2.1408720964441885,-0.7077078696006589
