Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_thompson
0,0,0,0,0,9.217839629563858,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,0,1,1,0,14.562483700617047,3.0726132098546195,3.333333333333334,5.0,3.0726132098546195,0.0,2.886751345948129,-0.410326119149236,0.856422709765607
0,0,2,2,0,11.523010663367476,5.9450808325452265,2.5000000000000004,5.0,5.9450808325452265,0.0,2.7386127875258306,-0.6549291474156,0.9850282363426146
0,0,3,3,0,13.873451561180588,7.0606667987096765,2.0,5.0,7.0606667987096765,0.0,2.6457513110645907,-0.8218544151266947,0.9961925155200607
0,0,4,4,0,14.568687532312069,8.196130925788161,1.6666666666666667,5.0,8.196130925788161,0.0,2.581988897471611,-0.9450735287639842,0.9992491320196452
0,0,5,5,0,10.42469908049365,9.106496155291577,1.4285714285714286,5.0,9.106496155291577,0.0,2.53546276418555,-1.0408393681653962,0.9998357048480151
0,0,6,6,0,18.96737603004813,9.271271520941836,1.25,5.0,9.271271520941836,0.0,2.5,-1.118033988749895,0.9998957582129996
0,0,7,7,0,16.52202573342947,10.348616466398092,1.1111111111111112,5.0,10.348616466398092,0.0,2.4720661623652207,-1.18197542411033,0.9999858181701633
0,0,8,8,0,11.089047563678921,10.96595739310123,1.0,5.0,10.96595739310123,0.0,2.449489742783178,-1.2360679774997898,0.9999962120832084
0,0,9,9,0,17.020385900097075,10.977147408608293,0.9090909090909091,5.0,10.977147408608293,0.0,2.4308621740219887,-1.2826053882541975,0.999996845233808
0,1,0,10,0,-5.403696220224941,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,1,1,11,1,-17.096965303453608,-1.8012320734083134,3.333333333333334,5.0,-1.8012320734083134,0.0,2.886751345948129,-0.410326119149236,0.26632525477454394
0,1,2,12,0,-3.793959623871364,3.897756361076222,3.333333333333334,3.333333333333334,-1.8012320734083134,-5.698988434484535,2.5819888974716116,0.0,0.9344265432354659
0,1,3,13,0,-2.720515447674448,3.399574473460459,2.5000000000000004,3.333333333333334,-2.2994139610240762,-5.698988434484535,2.41522945769824,-0.24460302826636404,0.920368938540193
0,1,4,14,0,-7.115297717386763,3.3153541761303846,2.0,3.333333333333334,-2.3836342583541508,-5.698988434484535,2.3094010767585034,-0.41152829597745866,0.9244405458822704
0,1,5,15,0,-3.2713658049551775,2.5267435996249494,1.6666666666666667,3.333333333333334,-3.172244834859586,-5.698988434484535,2.23606797749979,-0.5347474096147482,0.8707606426241825
0,1,6,16,0,-2.396686798588555,2.5125834610398647,1.4285714285714286,3.333333333333334,-3.1864049734446707,-5.698988434484535,2.182178902359924,-0.6305132490161602,0.8752182793024182
0,1,7,17,0,-6.910291015681976,2.6112982328968792,1.25,3.333333333333334,-3.087690201587656,-5.698988434484535,2.1408720964441885,-0.7077078696006589,0.8887174677595371
0,1,8,18,0,-8.158097738143617,2.1865648091086216,1.1111111111111112,3.333333333333334,-3.512423625375914,-5.698988434484535,2.1081851067789197,-0.771649304961094,0.8501737219069903
0,1,9,19,0,-4.119358492335629,1.721997397831851,1.0,3.333333333333334,-3.9769910366526844,-5.698988434484535,2.081665999466133,-0.8257418583505538,0.7959440357025223
0,2,0,20,1,28.111378997142936,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,2,1,21,1,29.88030823324646,-9.37045966571431,5.0,3.333333333333334,0.0,9.37045966571431,2.886751345948129,0.410326119149236,0.000585148058933924
0,2,2,22,1,28.22182292862035,-14.497921807597349,5.0,2.5000000000000004,0.0,14.497921807597349,2.7386127875258306,0.6549291474156,5.986990579448763e-08
0,2,3,23,1,30.402848656071736,-17.24270203180195,5.0,2.0,0.0,17.24270203180195,2.6457513110645907,0.8218544151266947,3.58329466922637e-11
0,2,4,24,1,37.53320944240415,-19.436059802513583,5.0,1.6666666666666667,0.0,19.436059802513583,2.581988897471611,0.9450735287639842,2.5849895580187624e-14
0,2,5,25,1,28.457908109108093,-22.021366893926523,5.0,1.4285714285714286,0.0,22.021366893926523,2.53546276418555,1.0408393681653962,1.8879857446763474e-18
0,2,6,26,1,31.38296514537101,-22.825934545824218,5.0,1.25,0.0,22.825934545824218,2.5,1.118033988749895,3.4131585712808687e-20
0,2,7,27,1,23.839450004746443,-23.77671572355164,5.0,1.1111111111111112,0.0,23.77671572355164,2.4720661623652207,1.18197542411033,3.351122378137848e-22
0,2,8,28,1,34.83108426861401,-23.78298915167112,5.0,1.0,0.0,23.78298915167112,2.449489742783178,1.2360679774997898,1.3752307756380306e-22
0,2,9,29,1,27.26129228632379,-24.787361435029567,5.0,0.9090909090909091,0.0,24.787361435029567,2.4308621740219887,1.2826053882541975,1.0230646865628632e-24
0,3,0,30,1,8.52914545351187,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,3,1,31,1,5.148475246294551,-2.8430484845039565,5.0,3.333333333333334,0.0,2.8430484845039565,2.886751345948129,0.410326119149236,0.16234620454008536
0,3,2,32,1,9.851783901822436,-3.4194051749516055,5.0,2.5000000000000004,0.0,3.4194051749516055,2.7386127875258306,0.6549291474156,0.10590749348115663
0,3,3,33,1,8.990100787512176,-4.705880920325772,5.0,2.0,0.0,4.705880920325772,2.6457513110645907,0.8218544151266947,0.03764810473366785
0,3,4,34,1,9.76235546517489,-5.419917564856839,5.0,1.6666666666666667,0.0,5.419917564856839,2.581988897471611,0.9450735287639842,0.017902939529095527
0,3,5,35,1,7.7536047995505495,-6.040265836330847,5.0,1.4285714285714286,0.0,6.040265836330847,2.53546276418555,1.0408393681653962,0.008602134329825584
0,3,6,36,1,7.602364670174093,-6.25443320673331,5.0,1.25,0.0,6.25443320673331,2.5,1.118033988749895,0.0061786515062699264
0,3,7,37,1,9.750910238358117,-6.404203369337842,5.0,1.1111111111111112,0.0,6.404203369337842,2.4720661623652207,1.18197542411033,0.004790051881749762
0,3,8,38,1,5.614696528652029,-6.73887405623987,5.0,1.0,0.0,6.73887405623987,2.449489742783178,1.2360679774997898,0.002969468894015919
0,3,9,39,1,7.0925104034074264,-6.636676099186429,5.0,0.9090909090909091,0.0,6.636676099186429,2.4308621740219887,1.2826053882541975,0.003165047658828312
0,4,0,40,1,-11.416718345973175,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,4,1,41,0,2.3401856464015607,3.8055727819910583,5.0,3.333333333333334,0.0,-3.8055727819910583,2.886751345948129,0.410326119149236,0.9062965528051574
0,4,2,42,0,4.2710512364268185,4.585634664124912,3.333333333333334,3.333333333333334,0.7800618821338535,-3.8055727819910583,2.5819888974716116,0.0,0.962134255816161
0,4,3,43,0,11.323267658648827,5.458382002698153,2.5000000000000004,3.333333333333334,1.652809220707095,-3.8055727819910583,2.41522945769824,-0.24460302826636404,0.9880889046840995
0,4,4,44,0,6.037786991287921,7.392473690286501,2.0,3.333333333333334,3.586900908295442,-3.8055727819910583,2.3094010767585034,-0.41152829597745866,0.9993153255261744
0,4,5,45,0,3.6471786104824484,7.80095470411858,1.6666666666666667,3.333333333333334,3.995381922127522,-3.8055727819910583,2.23606797749979,-0.5347474096147482,0.9997573058652556
0,4,6,46,0,10.986026983004125,7.75121137388357,1.4285714285714286,3.333333333333334,3.9456385918925116,-3.8055727819910583,2.182178902359924,-0.6305132490161602,0.9998088798241316
0,4,7,47,0,2.419772322557099,8.631259922772522,1.25,3.333333333333334,4.825687140781463,-3.8055727819910583,2.1408720964441885,-0.7077078696006589,0.9999723073976807
0,4,8,48,0,12.279668536580955,8.363936054080925,1.1111111111111112,3.333333333333334,4.558363272089867,-3.8055727819910583,2.1081851067789197,-0.771649304961094,0.9999636639027268
0,4,9,49,0,10.905682352617683,9.136066580530034,1.0,3.333333333333334,5.330493798538976,-3.8055727819910583,2.081665999466133,-0.8257418583505538,0.9999943017485603
0,5,0,50,1,0.24833699485794483,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,5,1,51,1,1.9709482275554626,-0.0827789982859816,5.0,3.333333333333334,0.0,0.0827789982859816,2.886751345948129,0.410326119149236,0.4885617037657737
0,5,2,52,1,1.47071661545601,-0.554821305603352,5.0,2.5000000000000004,0.0,0.554821305603352,2.7386127875258306,0.6549291474156,0.4197269340665917
0,5,3,53,1,4.9907827205199995,-0.7380003675738837,5.0,2.0,0.0,0.7380003675738837,2.6457513110645907,0.8218544151266947,0.3901462335201215
0,5,4,54,1,2.5759980644702822,-1.4467974263982364,5.0,1.6666666666666667,0.0,1.4467974263982364,2.581988897471611,0.9450735287639842,0.2876230126465062
0,5,5,55,1,-10.196870407012238,-1.6081118032656716,5.0,1.4285714285714286,0.0,1.6081118032656716,2.53546276418555,1.0408393681653962,0.2629595426868523
0,5,6,56,1,-2.295458815900365,-0.1324890269809329,5.0,1.25,0.0,0.1324890269809329,2.5,1.118033988749895,0.47886770244062815
0,5,7,57,1,-6.677833078016268,0.1372829555614335,5.0,1.1111111111111112,0.0,-0.1372829555614335,2.4720661623652207,1.18197542411033,0.5221433546352598
0,5,8,58,0,-2.057265500790402,0.791337967806917,5.0,1.0,0.0,-0.791337967806917,2.449489742783178,1.2360679774997898,0.6266759970345193
0,5,9,59,1,-2.226888076761,0.10558280087678296,3.333333333333334,1.0,-0.685755166930134,-0.791337967806917,2.081665999466133,0.8257418583505538,0.5202258145123602
0,6,0,60,1,-11.025702389626758,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,6,1,61,0,7.638540402274529,3.675234129875586,5.0,3.333333333333334,0.0,-3.675234129875586,2.886751345948129,0.410326119149236,0.8985155412419289
0,6,2,62,0,8.00397285796843,6.2214142639670955,3.333333333333334,3.333333333333334,2.5461801340915096,-3.675234129875586,2.5819888974716116,0.0,0.9920137515257409
0,6,3,63,0,9.047604345514774,7.5858624449363266,2.5000000000000004,3.333333333333334,3.91062831506074,-3.675234129875586,2.41522945769824,-0.24460302826636404,0.9991576954677825
