Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,Action,Reward,RNN_Prob_Action0,V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,RU,TU
0,0,0,0,-9.872363102372837,1.374501917540725,0,-10.33457361236968,0.52969843,-3.444857870789893,-3.444857870789893,0.0,3.333333333333334,5.0,0.3333333333333333,0.0,-0.410326119149236,2.886751345948129
0,0,1,1,-9.872363102372837,1.374501917540725,1,0.9928326712957447,2.0864126e-09,-3.775802094555141,-3.444857870789893,0.33094422376524824,3.333333333333334,3.333333333333334,0.0,0.3333333333333333,0.0,2.5819888974716116
0,0,2,2,-9.872363102372837,1.374501917540725,1,5.797245793812765,3.419657e-33,-5.14237748706702,-3.444857870789893,1.6975196162771276,3.333333333333334,2.5000000000000004,0.0,0.25000000000000006,0.24460302826636404,2.41522945769824
0,0,3,3,-9.872363102372837,1.374501917540725,1,1.384555097673899,0.0,-5.079784583346375,-3.444857870789893,1.634926712556482,3.333333333333334,2.0,0.0,0.20000000000000004,0.41152829597745866,2.3094010767585034
0,0,4,4,-9.872363102372837,1.374501917540725,1,2.9200680419933818,0.0,-5.293974804919191,-3.444857870789893,1.8491169341292986,3.333333333333334,1.6666666666666667,0.0,0.16666666666666666,0.5347474096147482,2.23606797749979
0,0,5,5,-9.872363102372837,1.374501917540725,1,1.4300045363947191,0.0,-5.234101605242823,-3.444857870789893,1.7892437344529302,3.333333333333334,1.4285714285714286,0.0,0.14285714285714288,0.6305132490161602,2.182178902359924
0,0,6,6,-9.872363102372837,1.374501917540725,1,1.6803684971818438,0.0,-5.220492200583937,-3.444857870789893,1.7756343297940445,3.333333333333334,1.25,0.0,0.125,0.7077078696006589,2.1408720964441885
0,0,7,7,-9.872363102372837,1.374501917540725,1,5.4981831575785565,0.0,-5.634108737004439,-3.444857870789893,2.189250866214546,3.333333333333334,1.1111111111111112,0.0,0.1111111111111111,0.771649304961094,2.1081851067789197
0,0,8,8,-9.872363102372837,1.374501917540725,1,5.384869092880005,0.0,-5.953670559670984,-3.444857870789893,2.5088126888810915,3.333333333333334,1.0,0.0,0.1,0.8257418583505538,2.081665999466133
0,0,9,9,-9.872363102372837,1.374501917540725,1,1.6016612064432314,0.0,-5.871202243085724,-3.444857870789893,2.4263443722958313,3.333333333333334,0.9090909090909091,0.0,0.09090909090909091,0.8722792691049615,2.059714602177749
0,1,0,10,3.7149424470438763,18.70324612687248,1,15.588505421790936,0.52969843,-5.196168473930312,0.0,5.196168473930312,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
0,1,1,11,3.7149424470438763,18.70324612687248,1,23.02456788624554,7.8560035e-25,-9.653268327009119,0.0,9.653268327009119,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
0,1,2,12,3.7149424470438763,18.70324612687248,1,16.54908121615163,8.1535075e-07,-11.032430904837621,0.0,11.032430904837621,5.0,2.0,0.0,0.20000000000000004,0.8218544151266947,2.6457513110645907
0,1,3,13,3.7149424470438763,18.70324612687248,1,18.6072956001417,8.412804e-19,-12.294908354054968,0.0,12.294908354054968,5.0,1.6666666666666667,0.0,0.16666666666666666,0.9450735287639842,2.581988897471611
0,1,4,14,3.7149424470438763,18.70324612687248,1,19.818548101558964,0.0,-13.369714032269824,0.0,13.369714032269824,5.0,1.4285714285714286,0.0,0.14285714285714288,1.0408393681653962,2.53546276418555
0,1,5,15,3.7149424470438763,18.70324612687248,1,18.44909255123116,0.0,-14.004636347139991,0.0,14.004636347139991,5.0,1.25,0.0,0.125,1.118033988749895,2.5
0,1,6,16,3.7149424470438763,18.70324612687248,1,22.02343183548263,0.0,-14.895613623622506,0.0,14.895613623622506,5.0,1.1111111111111112,0.0,0.1111111111111111,1.18197542411033,2.4720661623652207
0,1,7,17,3.7149424470438763,18.70324612687248,1,19.464334703640855,0.0,-15.352485731624341,0.0,15.352485731624341,5.0,1.0,0.0,0.1,1.2360679774997898,2.449489742783178
0,1,8,18,3.7149424470438763,18.70324612687248,1,18.528751488924975,0.0,-15.641237164106217,0.0,15.641237164106217,5.0,0.9090909090909091,0.0,0.09090909090909091,1.2826053882541975,2.4308621740219887
0,1,9,19,3.7149424470438763,18.70324612687248,1,17.162266036155778,0.0,-15.767989570110347,0.0,15.767989570110347,5.0,0.8333333333333333,0.0,0.08333333333333334,1.323197048324513,2.41522945769824
0,2,0,20,-14.954425019625964,0.06599638468020083,0,-14.758995904271044,0.52969843,-4.919665301423681,-4.919665301423681,0.0,3.333333333333334,5.0,0.3333333333333333,0.0,-0.410326119149236,2.886751345948129
0,2,1,21,-14.954425019625964,0.06599638468020083,1,2.104476780194511,5.175464e-14,-5.621157561488518,-4.919665301423681,0.7014922600648369,3.333333333333334,3.333333333333334,0.0,0.3333333333333333,0.0,2.5819888974716116
0,2,2,22,-14.954425019625964,0.06599638468020083,1,-3.4203450290964397,3.5673385e-23,-4.590698239198199,-4.919665301423681,-0.32896706222548244,3.333333333333334,2.5000000000000004,0.0,0.25000000000000006,0.24460302826636404,2.41522945769824
0,2,3,23,-14.954425019625964,0.06599638468020083,1,0.14395233813896804,0.0,-4.685282119271088,-4.919665301423681,-0.23438318215259235,3.333333333333334,2.0,0.0,0.20000000000000004,0.41152829597745866,2.3094010767585034
