Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,Action,Reward,RNN_Prob_Action0,V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,RU,TU
0,0,0,0,3.6398471722737664,25.771814148235904,1,28.695248089683556,0.50274605,-9.565082696561184,0.0,9.565082696561184,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
0,0,1,1,3.6398471722737664,25.771814148235904,0,-0.0058581813029854645,0.74839056,-9.56703542366218,-0.0019527271009951548,9.565082696561184,3.333333333333334,3.333333333333334,0.3333333333333333,0.0,0.0,2.5819888974716116
0,0,2,2,3.6398471722737664,25.771814148235904,1,22.90976780885052,0.029399691,-12.903206701734515,-0.0019527271009951548,12.90125397463352,3.333333333333334,2.5000000000000004,0.0,0.25000000000000006,0.24460302826636404,2.41522945769824
0,0,3,3,3.6398471722737664,25.771814148235904,1,25.32625862262612,0.00029987728,-15.388207631333035,-0.0019527271009951548,15.38625490423204,3.333333333333334,2.0,0.0,0.20000000000000004,0.41152829597745866,2.3094010767585034
0,0,4,4,3.6398471722737664,25.771814148235904,1,25.83448593205829,1.3383114e-07,-17.129579469304076,-0.0019527271009951548,17.12762674220308,3.333333333333334,1.6666666666666667,0.0,0.16666666666666666,0.5347474096147482,2.23606797749979
0,0,5,5,3.6398471722737664,25.771814148235904,1,26.831537785374007,5.9316094e-09,-18.515852475471352,-0.0019527271009951548,18.513899748370356,3.333333333333334,1.4285714285714286,0.0,0.14285714285714288,0.6305132490161602,2.182178902359924
0,0,6,6,3.6398471722737664,25.771814148235904,1,26.390378451696627,8.505218e-12,-19.500412313387134,-0.0019527271009951548,19.49845958628614,3.333333333333334,1.25,0.0,0.125,0.7077078696006589,2.1408720964441885
0,0,7,7,3.6398471722737664,25.771814148235904,1,22.368516165260765,7.390801e-12,-19.81930748882876,-0.0019527271009951548,19.817354761727763,3.333333333333334,1.1111111111111112,0.0,0.1111111111111111,0.771649304961094,2.1081851067789197
0,0,8,8,3.6398471722737664,25.771814148235904,1,22.287754704888698,1.2445867e-11,-20.066347483144853,-0.0019527271009951548,20.064394756043857,3.333333333333334,1.0,0.0,0.1,0.8257418583505538,2.081665999466133
0,0,9,9,3.6398471722737664,25.771814148235904,1,25.326488927844807,4.6941617e-12,-20.544719680581302,-0.0019527271009951548,20.542766953480307,3.333333333333334,0.9090909090909091,0.0,0.09090909090909091,0.8722792691049615,2.059714602177749
0,1,0,10,-1.1490804232214744,1.1398574332780211,1,3.5903536415642923,0.50274605,-1.1967845471880973,0.0,1.1967845471880973,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
0,1,1,11,-1.1490804232214744,1.1398574332780211,1,3.8777468973491707,0.21365868,-1.8670251347283657,0.0,1.8670251347283657,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
0,1,2,12,-1.1490804232214744,1.1398574332780211,1,-0.8038973626769409,0.3519611,-1.3328406352473041,0.0,1.3328406352473041,5.0,2.0,0.0,0.20000000000000004,0.8218544151266947,2.6457513110645907
0,1,3,13,-1.1490804232214744,1.1398574332780211,0,2.0060653801521724,0.9904427,-0.66415217519658,0.6686884600507241,1.3328406352473041,3.333333333333334,2.0,0.3333333333333333,0.0,0.41152829597745866,2.3094010767585034
0,1,4,14,-1.1490804232214744,1.1398574332780211,1,-2.792773123484561,0.0014446705,0.02345011792539753,0.6686884600507241,0.6452383421253266,3.333333333333334,1.6666666666666667,0.0,0.16666666666666666,0.5347474096147482,2.23606797749979
0,1,5,15,-1.1490804232214744,1.1398574332780211,0,-1.3027028898887985,0.9907706,-0.46939771955948323,0.17584062256584337,0.6452383421253266,2.5000000000000004,1.6666666666666667,0.25000000000000006,0.0,0.29014438134838416,2.041241452319315
0,1,6,16,-1.1490804232214744,1.1398574332780211,0,-0.6443245807306185,0.9985065,-0.6334307602187756,0.011807581906550957,0.6452383421253266,2.0,1.6666666666666667,0.20000000000000004,0.0,0.12321911363728955,1.9148542155126762
0,1,7,17,-1.1490804232214744,1.1398574332780211,1,12.513126134818055,0.00026706513,-2.328843302032023,0.011807581906550957,2.340650883938574,2.0,1.4285714285714286,0.0,0.14285714285714288,0.21898495303870158,1.851640199545103
0,1,8,18,-1.1490804232214744,1.1398574332780211,1,3.6376569121106415,3.8670143e-07,-2.4909690555535313,0.011807581906550957,2.5027766374600824,2.0,1.25,0.0,0.125,0.29617957362320024,1.8027756377319946
0,1,9,19,-1.1490804232214744,1.1398574332780211,1,4.306383705338048,0.00011533057,-2.691369840873305,0.011807581906550957,2.703177422779856,2.0,1.1111111111111112,0.0,0.1111111111111111,0.3601210089836353,1.7638342073763937
0,2,0,20,-2.730577255962224,-7.452778086921194,0,-3.2559586657402058,0.50274605,-1.0853195552467352,-1.0853195552467352,0.0,3.333333333333334,5.0,0.3333333333333333,0.0,-0.410326119149236,2.886751345948129
0,2,1,21,-2.730577255962224,-7.452778086921194,0,-6.14389654519698,0.4018954,-2.3499638027342966,-2.3499638027342966,0.0,2.5000000000000004,5.0,0.25000000000000006,0.0,-0.6549291474156,2.7386127875258306
0,2,2,22,-2.730577255962224,-7.452778086921194,0,-7.361135715995011,0.17118561,-3.3521981853864395,-3.3521981853864395,0.0,2.0,5.0,0.20000000000000004,0.0,-0.8218544151266947,2.6457513110645907
