Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_hybrid
0,0,0,0,1,5.01887087953089,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,0,1,1,1,9.741787788341028,-1.6729569598436298,5.0,3.333333333333334,0.0,1.6729569598436298,2.886751345948129,0.410326119149236,0.3393840032205052
0,0,2,2,1,8.749291354450284,-3.6901646669679797,5.0,2.5000000000000004,0.0,3.6901646669679797,2.7386127875258306,0.6549291474156,0.16779282734865042
0,0,3,3,1,14.13497136357589,-4.701990004464441,5.0,2.0,0.0,4.701990004464441,2.6457513110645907,0.8218544151266947,0.10203925988360535
0,0,4,4,1,12.23060409678575,-6.274153564316348,5.0,1.6666666666666667,0.0,6.274153564316348,2.581988897471611,0.9450735287639842,0.04123671094078546
0,0,5,5,1,4.144891581740933,-7.125075068954835,5.0,1.4285714285714286,0.0,7.125075068954835,2.53546276418555,1.0408393681653962,0.02231049344451417
0,0,6,6,1,8.374347423858428,-6.752552133053097,5.0,1.25,0.0,6.752552133053097,2.5,1.118033988749895,0.026790334062515943
0,0,7,7,1,5.857269408614045,-6.9327516098092445,5.0,1.1111111111111112,0.0,6.9327516098092445,2.4720661623652207,1.18197542411033,0.02252891664596094
0,0,8,8,1,8.857762900042593,-6.825203389689724,5.0,1.0,0.0,6.825203389689724,2.449489742783178,1.2360679774997898,0.023228949474303033
0,0,9,9,1,4.763319769420976,-7.0099815269945305,5.0,0.9090909090909091,0.0,7.0099815269945305,2.4308621740219887,1.2826053882541975,0.01966160626990368
0,1,0,10,1,5.904114552872331,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,1,1,11,1,7.526768383208487,-1.9680381842907768,5.0,3.333333333333334,0.0,1.9680381842907768,2.886751345948129,0.410326119149236,0.31306077908519503
0,1,2,12,0,-3.602399567011719,-3.357720734020204,5.0,2.5000000000000004,0.0,3.357720734020204,2.7386127875258306,0.6549291474156,0.19046745860409142
0,1,3,13,1,8.49435857479153,-4.558520589690778,3.333333333333334,2.5000000000000004,-1.200799855670573,3.357720734020204,2.41522945769824,0.24460302826636404,0.08870316582964283
0,1,4,14,1,12.129684461820219,-5.585848157845042,3.333333333333334,2.0,-1.200799855670573,4.38504830217447,2.3094010767585034,0.41152829597745866,0.041950278842486095
0,1,5,15,1,6.917789098157468,-6.876620851119334,3.333333333333334,1.6666666666666667,-1.200799855670573,5.6758209954487615,2.23606797749979,0.5347474096147482,0.01398550290636619
0,1,6,16,1,10.463838663755121,-7.054044865792006,3.333333333333334,1.4285714285714286,-1.200799855670573,5.853245010121434,2.182178902359924,0.6305132490161602,0.010442193937038366
0,1,7,17,1,5.942928926870325,-7.630369072496217,3.333333333333334,1.25,-1.200799855670573,6.429569216825644,2.1408720964441885,0.7077078696006589,0.00543241751960756
0,1,8,18,1,4.9425336709531145,-7.576297929167849,3.333333333333334,1.1111111111111112,-1.200799855670573,6.375498073497275,2.1081851067789197,0.771649304961094,0.005111724570897102
0,1,9,19,1,7.852916478714089,-7.4330014889134315,3.333333333333334,1.0,-1.200799855670573,6.232201633242859,2.081665999466133,0.8257418583505538,0.005359897088576696
0,2,0,20,1,-0.5958986045731853,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,2,1,21,0,-4.00966660267572,0.19863286819106177,5.0,3.333333333333334,0.0,-0.19863286819106177,2.886751345948129,0.410326119149236,0.5196089221909114
0,2,2,22,0,-4.947310748463635,-1.1379226660341781,3.333333333333334,3.333333333333334,-1.33655553422524,-0.19863286819106177,2.5819888974716116,0.0,0.3764015513201494
0,2,3,23,0,-3.029742803731023,-2.0406114695937774,2.5000000000000004,3.333333333333334,-2.239244337784839,-0.19863286819106177,2.41522945769824,-0.24460302826636404,0.2729949087678388
0,2,4,24,1,-0.6628657838778224,-2.198711162783014,2.0,3.333333333333334,-2.3973440309740757,-0.19863286819106177,2.3094010767585034,-0.41152829597745866,0.24813482462145253
0,2,5,25,1,0.5364830593777723,-2.0826529338613238,2.0,2.5000000000000004,-2.3973440309740757,-0.31469109711275195,2.1213203435596424,-0.16692526771109462,0.24146534834162364
0,2,6,26,1,-5.078533962309796,-2.2528877651594286,2.0,2.0,-2.3973440309740757,-0.14445626581464707,2.0,0.0,0.21041487467408038
0,2,7,27,1,0.13428425090984353,-1.4305414824102372,2.0,1.6666666666666667,-2.3973440309740757,-0.9668025485638385,1.9148542155126762,0.12321911363728955,0.2967131330355615
0,2,8,28,0,-3.463466397379955,-1.5878395966207632,2.0,1.4285714285714286,-2.3973440309740757,-0.8095044343533125,1.851640199545103,0.21898495303870158,0.27000048091644224
0,2,9,29,0,-8.536811581906528,-1.7655266576884099,1.6666666666666667,1.4285714285714286,-2.5750310920417223,-0.8095044343533125,1.7593288763724921,0.09576583940141203,0.23664375287087935
0,3,0,30,0,16.06976442891472,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,3,1,31,0,18.749036529069425,5.356588142971573,3.333333333333334,5.0,5.356588142971573,0.0,2.886751345948129,-0.410326119149236,0.9075863507580393
0,3,2,32,1,8.70594511563491,8.704700239496036,2.5000000000000004,5.0,8.704700239496036,0.0,2.7386127875258306,-0.6549291474156,0.988439636444409
0,3,3,33,1,11.755282732551379,5.8027185342844,2.5000000000000004,3.333333333333334,8.704700239496036,2.9019817052116363,2.41522945769824,-0.24460302826636404,0.957003088381967
