Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_ucb
0,0,0,0,0,-19.811033223423916,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,0,1,1,1,10.956100647215335,-6.603677741141305,3.333333333333334,5.0,-6.603677741141305,0.0,2.886751345948129,-0.410326119149236,0.0
0,0,2,2,1,11.857358558103527,-10.255711290213084,3.333333333333334,3.333333333333334,-6.603677741141305,3.652033549071778,2.5819888974716116,0.0,0.0
0,0,3,3,1,8.595337996965997,-12.30704254247102,3.333333333333334,2.5000000000000004,-6.603677741141305,5.703364801329716,2.41522945769824,0.24460302826636404,0.0
0,0,4,4,1,8.500435997744091,-12.885437181598277,3.333333333333334,2.0,-6.603677741141305,6.281759440456972,2.3094010767585034,0.41152829597745866,0.0
0,0,5,5,1,11.828305133648014,-13.255216607812798,3.333333333333334,1.6666666666666667,-6.603677741141305,6.651538866671492,2.23606797749979,0.5347474096147482,0.0
0,0,6,6,1,9.010140901215983,-13.994754645952302,3.333333333333334,1.4285714285714286,-6.603677741141305,7.391076904810996,2.182178902359924,0.6305132490161602,0.0
0,0,7,7,1,15.096491955446881,-14.197137645502924,3.333333333333334,1.25,-6.603677741141305,7.5934599043616196,2.1408720964441885,0.7077078696006589,0.0
0,0,8,8,1,13.322401389859746,-15.030807873401287,3.333333333333334,1.1111111111111112,-6.603677741141305,8.427130132259983,2.1081851067789197,0.771649304961094,0.0
0,0,9,9,1,5.00474396298209,-15.520334999161264,3.333333333333334,1.0,-6.603677741141305,8.916657258019958,2.081665999466133,0.8257418583505538,0.0
0,1,0,10,0,-11.149535063446937,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,1,1,11,1,-4.262322648799475,-3.7165116878156454,3.333333333333334,5.0,-3.7165116878156454,0.0,2.886751345948129,-0.410326119149236,1.2494581610122546e-302
0,1,2,12,1,-4.982153013832026,-2.295737471549154,3.333333333333334,3.333333333333334,-3.7165116878156454,-1.4207742162664916,2.5819888974716116,0.0,6.218089727140984e-117
0,1,3,13,1,-0.13111041833676793,-1.4053927721577701,3.333333333333334,2.5000000000000004,-3.7165116878156454,-2.3111189156578753,2.41522945769824,0.24460302826636404,3.643869322955544e-45
0,1,4,14,1,-2.3142138398252787,-1.8413944716219917,3.333333333333334,2.0,-3.7165116878156454,-1.8751172161936538,2.3094010767585034,0.41152829597745866,5.077466954580233e-76
0,1,5,15,1,-6.699951809209517,-1.7682117010167209,3.333333333333334,1.6666666666666667,-3.7165116878156454,-1.9482999867989246,2.23606797749979,0.5347474096147482,2.8796247616610424e-70
0,1,6,16,1,-4.637761206627959,-1.0894042978152076,3.333333333333334,1.4285714285714286,-3.7165116878156454,-2.627107390000438,2.182178902359924,0.6305132490161602,6.152670796153873e-28
0,1,7,17,1,-4.204429912172883,-0.8380725707367676,3.333333333333334,1.25,-3.7165116878156454,-2.878439117078878,2.1408720964441885,0.7077078696006589,2.630117806891682e-17
0,1,8,18,1,-5.132112463820836,-0.6907402601707671,3.333333333333334,1.1111111111111112,-3.7165116878156454,-3.0257714276448784,2.1081851067789197,0.771649304961094,2.468038113959201e-12
0,1,9,19,1,-6.2350016655723985,-0.48010615655317146,3.333333333333334,1.0,-3.7165116878156454,-3.236405531262474,2.081665999466133,0.8257418583505538,7.891336697866209e-07
0,2,0,20,1,-5.374827972308419,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,2,1,21,0,0.7750472197770344,1.7916093241028064,5.0,3.333333333333334,0.0,-1.7916093241028064,2.886751345948129,0.410326119149236,1.0
0,2,2,22,0,-1.6989671072593162,2.049958397361818,3.333333333333334,3.333333333333334,0.25834907325901146,-1.7916093241028064,2.5819888974716116,0.0,1.0
0,2,3,23,0,-0.7207945441923165,1.5606293522322359,2.5000000000000004,3.333333333333334,-0.23097997187057057,-1.7916093241028064,2.41522945769824,-0.24460302826636404,1.0
0,2,4,24,0,-5.800828578150413,1.4626664377678866,2.0,3.333333333333334,-0.32894288633491975,-1.7916093241028064,2.3094010767585034,-0.41152829597745866,1.0
0,2,5,25,0,3.8136381507771153,0.5506854891319712,1.6666666666666667,3.333333333333334,-1.2409238349708351,-1.7916093241028064,2.23606797749979,-0.5347474096147482,0.9999999817349438
0,2,6,26,0,-5.14592300300346,1.27276577281025,1.4285714285714286,3.333333333333334,-0.5188435512925564,-1.7916093241028064,2.182178902359924,-0.6305132490161602,1.0
0,2,7,27,0,-5.37487838057029,0.694380841346387,1.25,3.333333333333334,-1.0972284827564194,-1.7916093241028064,2.1408720964441885,-0.7077078696006589,0.9999999999980916
0,2,8,28,0,0.09230076867275203,0.21908640825595693,1.1111111111111112,3.333333333333334,-1.5725229158468494,-1.7916093241028064,2.1081851067789197,-0.771649304961094,0.985769185206035
0,2,9,29,0,-7.495183071675528,0.385568776707917,1.0,3.333333333333334,-1.4060405473948894,-1.7916093241028064,2.081665999466133,-0.8257418583505538,0.9999422976449632
0,3,0,30,1,2.9886294817342494,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,3,1,31,1,7.650097483903919,-0.9962098272447497,5.0,3.333333333333334,0.0,0.9962098272447497,2.886751345948129,0.410326119149236,1.1164965441251742e-23
0,3,2,32,1,2.62933820159903,-2.6596817414095426,5.0,2.5000000000000004,0.0,2.6596817414095426,2.7386127875258306,0.6549291474156,3.6942865388652273e-156
0,3,3,33,1,12.143911199971576,-2.65361303344744,5.0,2.0,0.0,2.65361303344744,2.6457513110645907,0.8218544151266947,1.8565538328000668e-155
0,3,4,34,1,5.880849097711617,-4.235329394534796,5.0,1.6666666666666667,0.0,4.235329394534796,2.581988897471611,0.9450735287639842,0.0
0,3,5,35,1,7.52174182748129,-4.47040363784577,5.0,1.4285714285714286,0.0,4.47040363784577,2.53546276418555,1.0408393681653962,0.0
0,3,6,36,1,3.5422454468979843,-4.8518209115502104,5.0,1.25,0.0,4.8518209115502104,2.5,1.118033988749895,0.0
0,3,7,37,1,5.3938789213513765,-4.706312526588852,5.0,1.1111111111111112,0.0,4.706312526588852,2.4720661623652207,1.18197542411033,0.0
0,3,8,38,1,7.617259404490336,-4.775069166065105,5.0,1.0,0.0,4.775069166065105,2.449489742783178,1.2360679774997898,0.0
0,3,9,39,1,8.693775831500291,-5.033450096831035,5.0,0.9090909090909091,0.0,5.033450096831035,2.4308621740219887,1.2826053882541975,0.0
0,4,0,40,0,6.053657916567385,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,4,1,41,0,0.7176932124212405,2.017885972189128,3.333333333333334,5.0,2.017885972189128,0.0,2.886751345948129,-0.410326119149236,1.0
0,4,2,42,0,0.021111664322238766,1.692837782247156,2.5000000000000004,5.0,1.692837782247156,0.0,2.7386127875258306,-0.6549291474156,1.0
0,4,3,43,0,-0.34965657627070923,1.3584925586621726,2.0,5.0,1.3584925586621726,0.0,2.6457513110645907,-0.8218544151266947,1.0
0,4,4,44,0,5.6385873756328735,1.073801036173359,1.6666666666666667,5.0,1.073801036173359,0.0,2.581988897471611,-0.9450735287639842,1.0
0,4,5,45,0,6.149735887341432,1.725913370381861,1.4285714285714286,5.0,1.725913370381861,0.0,2.53546276418555,-1.0408393681653962,1.0
0,4,6,46,0,-0.5633130626397783,2.2788911850018074,1.25,5.0,2.2788911850018074,0.0,2.5,-1.118033988749895,1.0
0,4,7,47,0,1.6275058606859554,1.9630907130416313,1.1111111111111112,5.0,1.9630907130416313,0.0,2.4720661623652207,-1.18197542411033,1.0
0,4,8,48,0,-3.868995145077919,1.9295322278060638,1.0,5.0,1.9295322278060638,0.0,2.449489742783178,-1.2360679774997898,1.0
0,4,9,49,0,4.918892647711333,1.4023933757257017,0.9090909090909091,5.0,1.4023933757257017,0.0,2.4308621740219887,-1.2826053882541975,1.0
0,5,0,50,1,-0.13760395288228902,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,5,1,51,1,6.601307305965406,0.04586798429409634,5.0,3.333333333333334,0.0,-0.04586798429409634,2.886751345948129,0.410326119149236,0.6767679544468539
0,5,2,52,1,1.4425706439877723,-1.6159258382707797,5.0,2.5000000000000004,0.0,1.6159258382707797,2.7386127875258306,0.6549291474156,4.886515202525901e-59
0,5,3,53,1,3.802256404194978,-1.5812547994141783,5.0,2.0,0.0,1.5812547994141783,2.6457513110645907,0.8218544151266947,1.2747188532199188e-56
0,5,4,54,1,1.4250917362064124,-1.9514217335443116,5.0,1.6666666666666667,0.0,1.9514217335443116,2.581988897471611,0.9450735287639842,4.1566230272977433e-85
0,5,5,55,1,4.600464955014297,-1.8762317339246117,5.0,1.4285714285714286,0.0,1.8762317339246117,2.53546276418555,1.0408393681653962,7.677827031849821e-79
0,5,6,56,1,0.16189044660703084,-2.2167608865608224,5.0,1.25,0.0,2.2167608865608224,2.5,1.118033988749895,3.528025235218591e-109
0,5,7,57,1,0.7786711657544393,-1.9884419487881788,5.0,1.1111111111111112,0.0,1.9884419487881788,2.4720661623652207,1.18197542411033,2.7760543705854326e-88
0,5,8,58,1,3.4923365404101507,-1.867464870484805,5.0,1.0,0.0,1.867464870484805,2.449489742783178,1.2360679774997898,3.980599759264778e-78
0,5,9,59,1,6.085052667815839,-2.0151804768416546,5.0,0.9090909090909091,0.0,2.0151804768416546,2.4308621740219887,1.2826053882541975,1.2973980709590255e-90
0,6,0,60,1,4.586338440049886,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,6,1,61,1,6.337185547901668,-1.5287794800166286,5.0,3.333333333333334,0.0,1.5287794800166286,2.886751345948129,0.410326119149236,4.611014187976334e-53
0,6,2,62,1,6.542173758610723,-2.7308809969878887,5.0,2.5000000000000004,0.0,2.7308809969878887,2.7386127875258306,0.6549291474156,1.666823874842755e-164
0,6,3,63,1,0.019335446610600812,-3.4931395493124557,5.0,2.0,0.0,3.4931395493124557,2.6457513110645907,0.8218544151266947,1.2409557820485762e-267
0,6,4,64,1,4.654410455419833,-2.9141721988621465,5.0,1.6666666666666667,0.0,2.9141721988621465,2.581988897471611,0.9450735287639842,5.318273155965752e-187
0,6,5,65,1,10.211711914619919,-3.162777664084673,5.0,1.4285714285714286,0.0,3.162777664084673,2.53546276418555,1.0408393681653962,7.664669275747256e-220
0,6,6,66,1,5.655887780712027,-4.043894445401579,5.0,1.25,0.0,4.043894445401579,2.5,1.118033988749895,0.0
0,6,7,67,1,3.124827309697619,-4.2230048159916285,5.0,1.1111111111111112,0.0,4.2230048159916285,2.4720661623652207,1.18197542411033,0.0
0,6,8,68,1,8.908859237176822,-4.113187065362228,5.0,1.0,0.0,4.113187065362228,2.449489742783178,1.2360679774997898,0.0
0,6,9,69,1,8.63717954234378,-4.549157262799918,5.0,0.9090909090909091,0.0,4.549157262799918,2.4308621740219887,1.2826053882541975,0.0
0,7,0,70,0,5.631297558685957,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,7,1,71,0,0.9671615412433499,1.8770991862286523,3.333333333333334,5.0,1.8770991862286523,0.0,2.886751345948129,-0.410326119149236,1.0
0,7,2,72,0,0.7478514475222012,1.6496147749823267,2.5000000000000004,5.0,1.6496147749823267,0.0,2.7386127875258306,-0.6549291474156,1.0
0,7,3,73,0,7.292588749965199,1.4692621094903016,2.0,5.0,1.4692621094903016,0.0,2.6457513110645907,-0.8218544151266947,1.0
0,7,4,74,0,-0.10951761547381303,2.439816549569451,1.6666666666666667,5.0,2.439816549569451,0.0,2.581988897471611,-0.9450735287639842,1.0
0,7,5,75,0,4.470060949339809,2.0756259545632703,1.4285714285714286,5.0,2.0756259545632703,0.0,2.53546276418555,-1.0408393681653962,1.0
0,7,6,76,0,4.0420601900315605,2.3749303289103376,1.25,5.0,2.3749303289103376,0.0,2.5,-1.118033988749895,1.0
