Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,RNN_Action,RNN_Reward,RNN_Prob_Action0,Kalman_V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,Kalman_RU,Kalman_TU
0,0,1,0,-2.5135285718957396,-7.349159783731536,0,0.022665293785299453,0.14740273,0.007555097928433151,0.007555097928433151,0.0,3.333333333333334,5.0,0.3333333333333333,0.0,-0.410326119149236,2.886751345948129
0,0,2,1,-2.5135285718957396,-7.349159783731536,1,-6.428063797763322,0.31832305,2.150243030516207,0.007555097928433151,-2.1426879325877737,3.333333333333334,3.333333333333334,0.0,0.3333333333333333,0.0,2.5819888974716116
0,0,3,2,-2.5135285718957396,-7.349159783731536,0,-5.499423416515517,0.9338524,0.7734984019052189,-1.3691895306825548,-2.1426879325877737,2.5000000000000004,3.333333333333334,0.25000000000000006,0.0,-0.24460302826636404,2.41522945769824
0,0,4,3,-2.5135285718957396,-7.349159783731536,0,-7.536751488781479,1.0,-0.4600139897145663,-2.60270192230234,-2.1426879325877737,2.0,3.333333333333334,0.20000000000000004,0.0,-0.41152829597745866,2.3094010767585034
0,0,5,4,-2.5135285718957396,-7.349159783731536,0,2.2605494849009786,0.95694065,0.3505279114859867,-1.792160021101787,-2.1426879325877737,1.6666666666666667,3.333333333333334,0.16666666666666666,0.0,-0.5347474096147482,2.23606797749979
0,0,6,5,-2.5135285718957396,-7.349159783731536,1,-7.70727620043627,0.0061764778,1.7416749784481107,-1.792160021101787,-3.5338349995498977,1.6666666666666667,2.5000000000000004,0.0,0.25000000000000006,-0.29014438134838416,2.041241452319315
0,0,7,6,-2.5135285718957396,-7.349159783731536,0,-5.83766774538913,0.9457309,1.163745303549919,-2.3700896959999787,-3.5338349995498977,1.4285714285714286,2.5000000000000004,0.14285714285714288,0.0,-0.3859102207497962,1.9820624179302297
0,0,8,7,-2.5135285718957396,-7.349159783731536,0,-4.762352194855785,0.9999982,0.8647124911929431,-2.6691225083569545,-3.5338349995498977,1.25,2.5000000000000004,0.125,0.0,-0.46310484133429486,1.9364916731037085
0,0,9,8,-2.5135285718957396,-7.349159783731536,0,-0.48435949394882416,1.0,1.107463937238291,-2.4263710623116066,-3.5338349995498977,1.1111111111111112,2.5000000000000004,0.1111111111111111,0.0,-0.5270462766947299,1.90029237516523
0,1,1,9,6.006005897237536,6.7593754720271235,1,7.181834621708286,0.14740273,-2.393944873902762,0.0,2.393944873902762,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
0,1,2,10,6.006005897237536,6.7593754720271235,1,3.4318415463401606,0.11924188,-2.6534190420121115,0.0,2.6534190420121115,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
0,1,3,11,6.006005897237536,6.7593754720271235,0,9.01693017164347,0.8509523,0.3522243485357115,3.005643390547823,2.6534190420121115,3.333333333333334,2.5000000000000004,0.3333333333333333,0.0,0.24460302826636404,2.41522945769824
0,1,4,12,6.006005897237536,6.7593754720271235,0,6.759697066165889,0.96511304,1.2907377674402283,3.94415680945234,2.6534190420121115,2.5000000000000004,2.5000000000000004,0.25000000000000006,0.0,0.0,2.23606797749979
0,1,5,13,6.006005897237536,6.7593754720271235,1,9.278648228537145,3.9532542e-06,-0.034308069864778634,3.94415680945234,3.9784648793171185,2.5000000000000004,2.0,0.0,0.20000000000000004,0.16692526771109462,2.1213203435596424
0,1,6,14,6.006005897237536,6.7593754720271235,1,4.54968732701224,1.8138828e-05,-0.12951181114729904,3.94415680945234,4.073668620599639,2.5000000000000004,1.6666666666666667,0.0,0.16666666666666666,0.29014438134838416,2.041241452319315
0,1,7,15,6.006005897237536,6.7593754720271235,1,5.5676236577253775,1.931492e-07,-0.3429339593081191,3.94415680945234,4.287090768760459,2.5000000000000004,1.4285714285714286,0.0,0.14285714285714288,0.3859102207497962,1.9820624179302297
0,1,8,16,6.006005897237536,6.7593754720271235,1,6.929154408029804,0.00019063751,-0.6731919142167873,3.94415680945234,4.617348723669127,2.5000000000000004,1.25,0.0,0.125,0.46310484133429486,1.9364916731037085
0,1,9,17,6.006005897237536,6.7593754720271235,1,7.314107895132929,2.068472e-08,-0.9728318221572096,3.94415680945234,4.9169886316095495,2.5000000000000004,1.1111111111111112,0.0,0.1111111111111111,0.5270462766947299,1.90029237516523
0,2,1,18,6.912894296994314,-0.59394837519836,1,-1.2037160381180954,0.14740273,0.4012386793726984,0.0,-0.4012386793726984,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
0,2,2,19,6.912894296994314,-0.59394837519836,1,2.5496820373308355,0.33612043,-0.33649149980318516,0.0,0.33649149980318516,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
0,2,3,20,6.912894296994314,-0.59394837519836,0,2.4120252382345524,0.92246044,0.46751691294166564,0.8040084127448508,0.33649149980318516,3.333333333333334,2.5000000000000004,0.3333333333333333,0.0,0.24460302826636404,2.41522945769824
0,2,4,21,6.912894296994314,-0.59394837519836,1,1.0103451986412424,0.00044159964,0.3327461731740542,0.8040084127448508,0.4712622395707966,3.333333333333334,2.0,0.0,0.20000000000000004,0.41152829597745866,2.3094010767585034
0,2,5,22,6.912894296994314,-0.59394837519836,1,1.5924213907927205,0.0023414507,0.14588631463706692,0.8040084127448508,0.6581220981077839,3.333333333333334,1.6666666666666667,0.0,0.16666666666666666,0.5347474096147482,2.23606797749979
